Empresa,Região/Pais,Link,Presente_na_Super_Store
Farmer Jack,United States,https://en.wikipedia.org/wiki/Farmer_Jack,Sim
Meijer,United States,https://en.wikipedia.org/wiki/Meijer,Sim
Spartan Stores,United States,https://en.wikipedia.org/wiki/SpartanNash,Sim
Iceland,United Kingdom,https://en.wikipedia.org/wiki/Iceland_(supermarket),Sim
FoodLand,United States,https://en.wikipedia.org/wiki/FoodLand,Sim
Foodland,Australia,https://en.wikipedia.org/wiki/Foodland_(South_Australia),Sim
Romeo's Retail Group,Australia,https://en.wikipedia.org/wiki/Foodland_(South_Australia)#Romeo's_Retail_Group,Sim
Foodland Hawaii,United States,https://en.wikipedia.org/wiki/Foodland_Hawaii,Sim
Foodland Ontario,Canada,https://en.wikipedia.org/wiki/Foodland_Ontario,Sim
Foodland (Thailand),Thailand,https://en.wikipedia.org/wiki/Foodland_(Thailand),Sim
Loblaws,Canada,https://en.wikipedia.org/wiki/Loblaws,Sim
Loeb,Canada,https://en.wikipedia.org/wiki/Loeb_(supermarket),Sim
Stater Bros.,United States,https://en.wikipedia.org/wiki/Stater_Bros.,Sim
Bashas',United States,https://en.wikipedia.org/wiki/Bashas%27,Sim
QFC,United States,https://en.wikipedia.org/wiki/QFC,Sim
Raley's Supermarkets,United States,https://en.wikipedia.org/wiki/Raley%27s_Supermarkets,Sim
Wild Oats Markets,United States,https://en.wikipedia.org/wiki/Wild_Oats_Markets,Sim
Coles,Australia,https://en.wikipedia.org/wiki/Coles_Supermarkets,Sim
Kmart Australia,Australia,https://en.wikipedia.org/wiki/Kmart_Australia,Sim
Big W,Australia,https://en.wikipedia.org/wiki/Big_W,Sim
Myer,Australia,https://en.wikipedia.org/wiki/Myer,Sim
Big Fresh,New Zealand,https://en.wikipedia.org/wiki/Big_Fresh,Sim
Franklins,Australia,https://en.wikipedia.org/wiki/Franklins,Sim
Countdown,New Zealand,https://en.wikipedia.org/wiki/Countdown_(supermarket),Sim
Foodtown,New Zealand,https://en.wikipedia.org/wiki/Foodtown,Sim
New World,New Zealand,https://en.wikipedia.org/wiki/New_World_(supermarket),Sim
Pak'nSave,New Zealand,https://en.wikipedia.org/wiki/Pak%27nSave,Sim
Woolworths (New Zealand supermarket chain),New Zealand,https://en.wikipedia.org/wiki/Woolworths_(New_Zealand_supermarket_chain),Sim
C1000,Netherlands,https://en.wikipedia.org/wiki/C1000,Sim
Jumbo,Netherlands,https://en.wikipedia.org/wiki/Jumbo_(supermarket),Sim
Jumbo Chile,Chile,https://en.wikipedia.org/wiki/Jumbo_(hypermarket),Sim
Weingarten's,United States,https://en.wikipedia.org/wiki/Weingarten%27s,Sim
Gima,Romania,https://en.wikipedia.org/wiki/G%27market,Sim
Mega Image,Romania,https://en.wikipedia.org/wiki/Mega_Image,Sim
Amigo Supermarkets,Puerto Rico,https://en.wikipedia.org/wiki/Amigo_Supermarkets,Não
Zellers,Canada,https://en.wikipedia.org/wiki/Zellers,Sim
Zehrs,Canada,https://en.wikipedia.org/wiki/Zehrs_Markets,Sim
XXL,Romania,https://en.wikipedia.org/wiki/Penny_Market_XXL,Sim
Profi,Romania,https://en.wikipedia.org/wiki/Profi,Sim
Wegmans,United States,https://en.wikipedia.org/wiki/Wegmans,Sim
Esselunga,Italy,https://en.wikipedia.org/wiki/Esselunga,Sim
Standa,Italy,https://en.wikipedia.org/wiki/Standa,Sim
Supermercado La Franco Italiana,Venezuela,https://en.wikipedia.org/wiki/Supermercado_La_Franco_Italiana,Sim
Happy Harry's,United States,https://en.wikipedia.org/wiki/Happy_Harry%27s,Sim
Great Food Hall,Hong Kong,https://en.wikipedia.org/wiki/Great_Food_Hall,Sim
Taste,Hong Kong,https://en.wikipedia.org/wiki/Taste_(supermarket),Sim
Gourmet,Hong Kong,https://en.wikipedia.org/wiki/Gourmet_(supermarket),Sim
Real Atlantic Superstore,Canada,https://en.wikipedia.org/wiki/Real_Atlantic_Superstore,Sim
Hannaford,United States,https://en.wikipedia.org/wiki/Hannaford_Brothers_Company,Sim
Price Chopper,United States,https://en.wikipedia.org/wiki/Price_Chopper_(Northeastern_United_States),Sim
Price Chopper,United States,https://en.wikipedia.org/wiki/Price_Chopper_(Midwestern_United_States),Sim
Price Chopper (New Zealand),New Zealand,https://en.wikipedia.org/wiki/Price_Chopper_(New_Zealand),Sim
FreshCo,Canada,https://en.wikipedia.org/wiki/FreshCo,Sim
Shaw's and Star Market,United States,https://en.wikipedia.org/wiki/Shaw%27s_and_Star_Market,Sim
Star Market,United States,https://en.wikipedia.org/wiki/Star_Market,Sim
Alfa-Beta Vassilopoulos,Greece,https://en.wikipedia.org/wiki/Alfa-Beta_Vassilopoulos,Não
Supermercados Gigante,Mexico,https://en.wikipedia.org/wiki/Supermercados_Gigante,Sim
CTown Supermarkets,United States,https://en.wikipedia.org/wiki/CTown_Supermarkets,Sim
The Food Emporium,United States,https://en.wikipedia.org/wiki/The_Food_Emporium,Sim
Key Food,United States,https://en.wikipedia.org/wiki/Key_Food,Sim
Shop-Rite (Canada),Canada,https://en.wikipedia.org/wiki/Shop-Rite_(Canada),Sim
Shop-Rite (Isle of Man),Isle of Man,https://en.wikipedia.org/w/index.php?title=Shop-Rite_(Isle_of_Man)&action=edit&redlink=1,Não
Shoprite Holdings Ltd,South Africa,https://en.wikipedia.org/wiki/Shoprite_Holdings_Ltd,Sim
ShopRite (United States),United States,https://en.wikipedia.org/wiki/ShopRite_(United_States),Sim
Waldbaum's,United States,https://en.wikipedia.org/wiki/Waldbaum%27s,Sim
Fairway Market,United States,https://en.wikipedia.org/wiki/Fairway_Market,Sim
Fairway Markets,Canada,https://en.wikipedia.org/wiki/Fairway_Markets,Sim
Fareway,United States,https://en.wikipedia.org/wiki/Fareway,Sim
Trader Joe's,United States,https://en.wikipedia.org/wiki/Trader_Joe%27s,Sim
Kooperativa Förbundet,Sweden,https://en.wikipedia.org/wiki/Kooperativa_F%C3%B6rbundet,Sim
RIMI,Norway,https://en.wikipedia.org/wiki/Rimi_(Norway),Sim
REWE,Germany,https://en.wikipedia.org/wiki/REWE,Sim
